iteration: 1920, loss: 0.0046, scmap loss: 0.0042, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 1930, loss: 0.0050, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 1940, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1950, loss: 0.0054, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0005, lr: 0.0001
iteration: 1960, loss: 0.0057, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 1970, loss: 0.0051, scmap loss: 0.0046, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 1980, loss: 0.0051, scmap loss: 0.0047, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 1990, loss: 0.0048, scmap loss: 0.0043, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2000, loss: 0.0051, scmap loss: 0.0046, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2010, loss: 0.0055, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 2020, loss: 0.0052, scmap loss: 0.0047, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 2030, loss: 0.0055, scmap loss: 0.0047, locref loss: 0.0002, limb loss: 0.0006, lr: 0.0001
iteration: 2040, loss: 0.0043, scmap loss: 0.0038, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2050, loss: 0.0053, scmap loss: 0.0048, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2060, loss: 0.0045, scmap loss: 0.0041, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2070, loss: 0.0047, scmap loss: 0.0043, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2080, loss: 0.0044, scmap loss: 0.0040, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2090, loss: 0.0045, scmap loss: 0.0041, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2100, loss: 0.0050, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 2110, loss: 0.0044, scmap loss: 0.0039, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2120, loss: 0.0054, scmap loss: 0.0049, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2130, loss: 0.0057, scmap loss: 0.0052, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2140, loss: 0.0050, scmap loss: 0.0046, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2150, loss: 0.0046, scmap loss: 0.0041, locref loss: 0.0001, limb loss: 0.0004, lr: 0.0001
iteration: 2160, loss: 0.0056, scmap loss: 0.0051, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 2170, loss: 0.0049, scmap loss: 0.0044, locref loss: 0.0002, limb loss: 0.0004, lr: 0.0001
iteration: 2180, loss: 0.0049, scmap loss: 0.0045, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2190, loss: 0.0042, scmap loss: 0.0037, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2200, loss: 0.0044, scmap loss: 0.0041, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2210, loss: 0.0045, scmap loss: 0.0040, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2220, loss: 0.0047, scmap loss: 0.0042, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2230, loss: 0.0055, scmap loss: 0.0051, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2240, loss: 0.0045, scmap loss: 0.0041, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2250, loss: 0.0050, scmap loss: 0.0046, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2260, loss: 0.0047, scmap loss: 0.0043, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2270, loss: 0.0049, scmap loss: 0.0045, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2280, loss: 0.0056, scmap loss: 0.0052, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2290, loss: 0.0055, scmap loss: 0.0050, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2300, loss: 0.0050, scmap loss: 0.0046, locref loss: 0.0002, limb loss: 0.0003, lr: 0.0001
iteration: 2310, loss: 0.0047, scmap loss: 0.0043, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2320, loss: 0.0050, scmap loss: 0.0045, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
iteration: 2330, loss: 0.0043, scmap loss: 0.0039, locref loss: 0.0001, limb loss: 0.0003, lr: 0.0001
